prompt,context,A,B,C,D,E,answer,useful,thought
Which facility of Envigo had multiple violations of the Animal Welfare Act?,"In: Animals and Their Legal Rights, Animal Welfare Institute: Washington, D.C., p. 66-111. A database of violations, reports, and sanctions on behalf of the United States Department of Agriculture (USDA) can be found on the Animal and Plant Health Inspection Service website. == See also == *Animal Welfare Act 2006 *Animal Welfare Institute *The Humane Society of the United States == References == == Further reading == *Irvine, Leslie. 2009. *Bekoff, Marc, Encyclopedia of Animal Rights and Animal Welfare, vol. 1, 2nd ed. (ABC-CLIO, 2010). Many state and local governments have animal welfare laws of their own. Animal Welfare Information Center Bulletin 8: 1-2, 23.","Horst, the Netherlands","Livermore, CA","Cumberland, Virginia","St Louis, MO","Indianapolis, IN",C,TRUE,"The background knowledge mentions a database of violations, reports, and sanctions on behalf of the United States Department of Agriculture (USDA). Therefore, it is possible that the background knowledge can help us answer the question."
"What happened to the beagles at Envigo's Cumberland, Virginia facility?","Up to 2,000 beagles are bred at the facility each year; they are sold at the age of around 16 weeks to be used for drugs and chemical testing. The Consort beagles campaign was founded in 1996 by British animal rights activists Greg Avery and Heather James, with a view to closing Consort Kennels in Hereford, a commercial breeder of beagles for animal testing laboratories. ==Background== The company closed in September 1997 after a ten-month campaignWoolcock, Nicola. Extremists seek fresh targets close to home, The Times, August 25, 2005. consisting of daily protests and raids carried out by the Animal Liberation Front, including the removal in May 1997 of 26 beagles. Following an hour of rioting, the pregnant beagle was lowered to a group of around forty people. They christened the business Bealls Department Store.",They were released into the wild.,They were transferred to another facility.,They were sold to pharmaceutical companies.,They were euthanized.,They were adopted by employees.,B,FALSE,fail
What is the purpose of Integrated information theory (IIT)?,"Integrated information theory (IIT) attempts to provide a framework capable of explaining why some physical systems (such as human brains) are conscious, why they feel the particular way they do in particular states (e.g. why our visual field appears extended when we gaze out at the night sky), and what it would take for other physical systems to be conscious (Are other animals conscious? For example, IIT can be used to explain why some brain regions, such as the cerebellum do not appear to contribute to consciousness, despite their size and/or functional importance. == Reception == Integrated information theory has received both broad criticism and support. === Support === Neuroscientist Christof Koch, who has helped to develop later versions of the theory, has called IIT ""the only really promising fundamental theory of consciousness"". Foundation of information integration theory. An information integration theory of consciousness. He concludes that “the so- called ‘axioms’ that Tononi et al. appeal to fail to qualify as genuine axioms”. == See also == * Causality * Consciousness * Hard problem of consciousness * Mind–body problem * Neural correlates of consciousness * Phenomenology (philosophy) * Phenomenology (psychology) * Philosophy of mind * Qualia * Sentience == References == == External links == === Related papers === * * * * Integrated Information Theory: An Updated Account (2012) (First presentation of IIT 3.0) * * === Websites === * integratedinformationtheory.org: resource for learning about IIT; features a graphical user interface to PyPhi. * === Software === * PyPhi: an open-source Python package for calculating integrated information.",To explain why some physical systems are conscious,To describe the causal properties of physical systems,To test the consciousness of other animals,To determine the degree of consciousness in physical systems,To examine the conscious experience of the whole Universe,A,TRUE,"The background knowledge states that Integrated information theory (IIT) attempts to provide a framework capable of explaining why some physical systems (such as human brains) are conscious. Therefore, the purpose of IIT is to explain why some physical systems are conscious. Hence, the correct answer is A) To explain why some physical systems are conscious."
What is the relationship between a system's consciousness and its causal properties in IIT?,"In IIT, a system's consciousness (what it is like subjectively) is conjectured to be identical to its causal properties (what it is like objectively). Firstly, by not demonstrating that all members of systems which do in fact combine integration and differentiation in the formal IIT sense are conscious, systems which demonstrate high levels of integration and differentiation of information might provide the necessary conditions for consciousness but those combinations of attributes do not amount to the conditions for consciousness. IIT argues that the existence of an underlying causal system with these same properties offers the most parsimonious explanation. Thus a physical system, if conscious, is so by virtue of its causal properties. IIT also makes several predictions which fit well with existing experimental evidence, and can be used to explain some counterintuitive findings in consciousness research. ",They are unrelated,They are identical,They are inversely proportional,They are dependent on each other,They are partially related,B,TRUE,"According to the background knowledge, in IIT, a system's consciousness is conjectured to be identical to its causal properties. This means that the relationship between a system's consciousness and its causal properties in IIT is that they are identical."
Who proposed Integrated information theory (IIT)?,"Integrated information theory (IIT) attempts to provide a framework capable of explaining why some physical systems (such as human brains) are conscious, why they feel the particular way they do in particular states (e.g. why our visual field appears extended when we gaze out at the night sky), and what it would take for other physical systems to be conscious (Are other animals conscious? For example, IIT can be used to explain why some brain regions, such as the cerebellum do not appear to contribute to consciousness, despite their size and/or functional importance. == Reception == Integrated information theory has received both broad criticism and support. === Support === Neuroscientist Christof Koch, who has helped to develop later versions of the theory, has called IIT ""the only really promising fundamental theory of consciousness"". Basic Books, New York.) or (Tononi's integrated information theory (IIT) of consciousnessTononi, G. and O. Sporns (2003). But he also claims ""the parts of IIT that I find less promising are where it claims that integrated information actually is consciousness — that there’s an identity between the two."", and has criticized the panpsychist extrapolations of the theory. Foundation of information integration theory.",Giulio Tononi,David Chalmers,Neuroscientist,IIT 3.0,IIT framework,A,TRUE,"The background knowledge mentions that Integrated information theory (IIT) was proposed by Giulio Tononi. Therefore, the answer is A) Giulio Tononi."
When was the latest version of IIT (labeled IIT 3.0) published?,"thumb|Entrance of IIT Delhi IIT Delhi, officially Indian Institute of Technology Delhi, is a public institute of technology located in New Delhi, India. IITT may refer to: * IITT is an acronym for Indian Institute of Technology Tirupati, an institute centrally funded by MHRD, INDIA * Institute of IT Training, a professional body for training professionals (UK and Europe) *IITT college of Engineering, Kala Amb, an institution of higher education in the state of Himachal Pradesh, INDIA The institute was later decreed in the Institutes of National Importance under the Institutes of Technology Amendment Act, 1963, and accorded the status of a full University with powers to decide its academic policy, conduct its examinations, and award its degrees. ==History== The concept of IIT was first introduced by Sh. IIT Delhi would be starting the B.Des (Bachelor of Design) program from the academic year 2022–2023. thumb|Nalanda apartments at IIT Delhi thumb|Girnar boys hostel IIT Delhi thumb|Shivalik boys hostel IIT Delhi ===Rankings=== Internationally, IIT Delhi was ranked 174 in the world by the QS World University Rankings of 2022 and 46 in Asia. Directly under the president is the IIT Council.",2004,2014,2020,The theory is still in development,It was not published,B,FALSE,fail
What is the current status of Integrated information theory (IIT)?,"Integrated information theory (IIT) attempts to provide a framework capable of explaining why some physical systems (such as human brains) are conscious, why they feel the particular way they do in particular states (e.g. why our visual field appears extended when we gaze out at the night sky), and what it would take for other physical systems to be conscious (Are other animals conscious? Foundation of information integration theory. Information integration theory differs from other theories in that it is not erected on a consistency principle such as balance or congruity but rather relies on algebraic models. For example, IIT can be used to explain why some brain regions, such as the cerebellum do not appear to contribute to consciousness, despite their size and/or functional importance. == Reception == Integrated information theory has received both broad criticism and support. === Support === Neuroscientist Christof Koch, who has helped to develop later versions of the theory, has called IIT ""the only really promising fundamental theory of consciousness"". right|thumb|400px|Schematic diagram of information integration theory Information integration theory was proposed by Norman H. Anderson to describe and model how a person integrates information from a number of sources in order to make an overall judgment.",It is widely accepted and extensively tested,It is a fully mature theory,It is still in development,It has been disproven,It is not applicable to physical systems,C,TRUE,"The background knowledge states that Integrated information theory (IIT) has received both criticism and support. Neuroscientist Christof Koch, who has helped to develop later versions of the theory, has called IIT 'the only really promising fundamental theory of consciousness.' Therefore, it can be inferred that IIT is still in development and not widely accepted or extensively tested."
What are some essential parts of broadcast engineering?,"Audio engineering and RF engineering are also essential parts of broadcast engineering, being their own subsets of electrical engineering. Broadcast engineering is the field of electrical engineering, and now to some extent computer engineering and information technology, which deals with radio and television broadcasting. Broadcast engineering involves both the studio and transmitter aspects (the entire airchain), as well as remote broadcasts. * Degree in electrical engineering * Degree in electronic engineering * Degree in telecommunications engineering * Degree in computer engineering * Degree in management information system * Degree in broadcast technology ===Knowledge=== Broadcast engineers are generally required to know the following areas, from conventional video broadcast systems to modern Information Technology: * Conventional broadcast ** Audio/Video instrumentation measurement ** Baseband video – standard / high- definition ** Broadcast studio acoustics ** Television studios - broadcast video cameras and camera lenses ** Production switcher (Video mixer) ** Audio mixer ** Recording engineer * Broadcast IT ** Video compression - DV25, MPEG, DVB or ATSC (or ISDB) ** Digital server playout technologies. Some widely used titles include: * Broadcast design engineer * Broadcast Integration Engineer * Broadcast systems engineer * Broadcast IT engineer * Broadcast IT systems engineer * Broadcast network engineer * Broadcast maintenance engineer * Video broadcast engineer * TV studio broadcast engineer * Outside broadcast engineer * Remote broadcast engineer ==Qualifications== Broadcast engineers may need to possess some or all of the following degrees, depending on the broadcast technical environment.",Mechanical engineering and civil engineering,Audio engineering and RF engineering,Chemical engineering and computer engineering,Electrical engineering and computer science,Industrial engineering and software engineering,B,TRUE,"Based on the background knowledge, audio engineering and RF engineering are mentioned as essential parts of broadcast engineering."
What are the modern duties of a broadcast engineer?,"In small media markets the engineer may work on a contract basis for one or more stations as needed. ==Duties== Modern duties of a broadcast engineer include maintaining broadcast automation systems for the studio and automatic transmission systems for the transmitter plant. Broadcast engineering is the field of electrical engineering, and now to some extent computer engineering and information technology, which deals with radio and television broadcasting. Some widely used titles include: * Broadcast design engineer * Broadcast Integration Engineer * Broadcast systems engineer * Broadcast IT engineer * Broadcast IT systems engineer * Broadcast network engineer * Broadcast maintenance engineer * Video broadcast engineer * TV studio broadcast engineer * Outside broadcast engineer * Remote broadcast engineer ==Qualifications== Broadcast engineers may need to possess some or all of the following degrees, depending on the broadcast technical environment. Broadcast engineering involves both the studio and transmitter aspects (the entire airchain), as well as remote broadcasts. * Degree in electrical engineering * Degree in electronic engineering * Degree in telecommunications engineering * Degree in computer engineering * Degree in management information system * Degree in broadcast technology ===Knowledge=== Broadcast engineers are generally required to know the following areas, from conventional video broadcast systems to modern Information Technology: * Conventional broadcast ** Audio/Video instrumentation measurement ** Baseband video – standard / high- definition ** Broadcast studio acoustics ** Television studios - broadcast video cameras and camera lenses ** Production switcher (Video mixer) ** Audio mixer ** Recording engineer * Broadcast IT ** Video compression - DV25, MPEG, DVB or ATSC (or ISDB) ** Digital server playout technologies.",Maintaining radio towers with proper lighting and painting,Designing broadcast automation systems for the studio,Dealing with complaints of RF interference,Working on a contract basis for one or more stations,Managing the entire airchain of a station,C,FALSE,fail
What are some titles used for broadcast engineers?,"Some widely used titles include: * Broadcast design engineer * Broadcast Integration Engineer * Broadcast systems engineer * Broadcast IT engineer * Broadcast IT systems engineer * Broadcast network engineer * Broadcast maintenance engineer * Video broadcast engineer * TV studio broadcast engineer * Outside broadcast engineer * Remote broadcast engineer ==Qualifications== Broadcast engineers may need to possess some or all of the following degrees, depending on the broadcast technical environment. Broadcast engineering is the field of electrical engineering, and now to some extent computer engineering and information technology, which deals with radio and television broadcasting. In small media markets the engineer may work on a contract basis for one or more stations as needed. ==Duties== Modern duties of a broadcast engineer include maintaining broadcast automation systems for the studio and automatic transmission systems for the transmitter plant. * Degree in electrical engineering * Degree in electronic engineering * Degree in telecommunications engineering * Degree in computer engineering * Degree in management information system * Degree in broadcast technology ===Knowledge=== Broadcast engineers are generally required to know the following areas, from conventional video broadcast systems to modern Information Technology: * Conventional broadcast ** Audio/Video instrumentation measurement ** Baseband video – standard / high- definition ** Broadcast studio acoustics ** Television studios - broadcast video cameras and camera lenses ** Production switcher (Video mixer) ** Audio mixer ** Recording engineer * Broadcast IT ** Video compression - DV25, MPEG, DVB or ATSC (or ISDB) ** Digital server playout technologies. Occasionally a station's engineer must deal with complaints of RF interference, particularly after a station has made changes to its transmission facilities. ==Titles== Broadcast engineers may have varying titles depending on their level of expertise and field specialty.",Civil engineer and mechanical engineer,Broadcast integration engineer and broadcast maintenance engineer,Broadcast IT engineer and broadcast network engineer,Software engineer and industrial engineer,Broadcast systems engineer and video broadcast engineer,E,FALSE,fail
What qualifications do broadcast engineers need?,"* Degree in electrical engineering * Degree in electronic engineering * Degree in telecommunications engineering * Degree in computer engineering * Degree in management information system * Degree in broadcast technology ===Knowledge=== Broadcast engineers are generally required to know the following areas, from conventional video broadcast systems to modern Information Technology: * Conventional broadcast ** Audio/Video instrumentation measurement ** Baseband video – standard / high- definition ** Broadcast studio acoustics ** Television studios - broadcast video cameras and camera lenses ** Production switcher (Video mixer) ** Audio mixer ** Recording engineer * Broadcast IT ** Video compression - DV25, MPEG, DVB or ATSC (or ISDB) ** Digital server playout technologies. Broadcast engineering is the field of electrical engineering, and now to some extent computer engineering and information technology, which deals with radio and television broadcasting. Some widely used titles include: * Broadcast design engineer * Broadcast Integration Engineer * Broadcast systems engineer * Broadcast IT engineer * Broadcast IT systems engineer * Broadcast network engineer * Broadcast maintenance engineer * Video broadcast engineer * TV studio broadcast engineer * Outside broadcast engineer * Remote broadcast engineer ==Qualifications== Broadcast engineers may need to possess some or all of the following degrees, depending on the broadcast technical environment. Audio engineering and RF engineering are also essential parts of broadcast engineering, being their own subsets of electrical engineering. In small media markets the engineer may work on a contract basis for one or more stations as needed. ==Duties== Modern duties of a broadcast engineer include maintaining broadcast automation systems for the studio and automatic transmission systems for the transmitter plant.",Degrees in mechanical engineering and electrical engineering,Degrees in chemical engineering and computer science,Degrees in audio engineering and RF engineering,Degrees in industrial engineering and software engineering,Degrees in broadcast technical environment,A,FALSE,fail
What aspects of broadcast engineering does a broadcast engineer deal with?,"Broadcast engineering involves both the studio and transmitter aspects (the entire airchain), as well as remote broadcasts. Broadcast engineering is the field of electrical engineering, and now to some extent computer engineering and information technology, which deals with radio and television broadcasting. In small media markets the engineer may work on a contract basis for one or more stations as needed. ==Duties== Modern duties of a broadcast engineer include maintaining broadcast automation systems for the studio and automatic transmission systems for the transmitter plant. Every station has a broadcast engineer, though one may now serve an entire station group in a city. Audio engineering and RF engineering are also essential parts of broadcast engineering, being their own subsets of electrical engineering. ",Only the studio aspect,Only the transmitter aspect,Both the studio and transmitter aspects,Only remote broadcasts,Only radio towers,C,TRUE,"Based on the background knowledge, a broadcast engineer deals with both the studio and transmitter aspects of broadcast engineering. Therefore, the correct answer is C) Both the studio and transmitter aspects."
What is dance science?,"Dance science is the scientific study of dance and dancers, as well as the practical application of scientific principles to dance, similar to sports science. Dance science is the scientific study of dance and dancers, as well as the practical application of scientific principles to dance. Dance research is the study of dance, including dance history, ethnochoreology, dance theory, dance anthropology, and dance science. Typically, the subject areas within dance science are similar to those studied in ""sports science"", though naturally with a focus on dance and the special considerations that this involves. However, unlike sports science, dance science sometimes also studies related topics such as creativity and somatic techniques, including the practices of Pilates, yoga, Alexander technique, Feldenkrais method, etc. ",The study of dance and dancers,The study of music and dance,The study of sports medicine,The study of psychology in dance,The study of dance choreography,A,TRUE,"Based on the background knowledge provided, dance science is described as the scientific study of dance and dancers, as well as the practical application of scientific principles to dance. Therefore, option A) The study of dance and dancers is the most accurate description of dance science."
What are the aims of dance science?,"Dance science is the scientific study of dance and dancers, as well as the practical application of scientific principles to dance. Dance science is the scientific study of dance and dancers, as well as the practical application of scientific principles to dance, similar to sports science. Dance research is the study of dance, including dance history, ethnochoreology, dance theory, dance anthropology, and dance science. Its aims are the enhancement of performance, the reduction of injury, and the improvement of well-being and health. ==Organizations== *Congress on Research in Dance (founded in 1965 as a Committee on Research in Dance) *Society for Ethnomusicology *Society of Dance History Scholars *Cross-Cultural Dance Resources ==References== == Further reading == * Braun, Lesley Nicole. 2014. Its aims are the enhancement of performance, the reduction of injury, and the improvement of well-being and health. ==Overview== Dance medicine and science as a field of study developed in the 1970s and '80s out of the field of sports medicine.",To enhance performance and reduce injury,To study the history of dance,To improve music in dance performances,To promote different dance styles,To analyze dance costumes,A,TRUE,"Based on the background knowledge, dance science aims to enhance performance and reduce injury. This aligns with option A) To enhance performance and reduce injury."
When did dance medicine and science start to develop?,"Dance science as an academic discipline has been evolving over the past 20 years. Dance research as an academic discipline is relatively new. American Dance Therapy Association was founded in 1966 to establish and maintain standards of professional education in the field of dance/movement therapy. ==History== Dance/movement therapy has been a distinct profession since the 1940s. Its aims are the enhancement of performance, the reduction of injury, and the improvement of well-being and health. ==Overview== Dance medicine and science as a field of study developed in the 1970s and '80s out of the field of sports medicine. In the early 1980s, the American Dance Festival (ADF) started including dance medicine courses in their coursework for dancers.",1970s and 1980s,1960s and 1970s,1990s and 2000s,1980s and 1990s,1950s and 1960s,A,TRUE,"Based on the background knowledge, dance medicine and science started to develop in the 1970s and 1980s."
Which organization was formed in 1990 to promote dance medicine and science?,"The International Association for Dance Medicine & Science (IADMS) was formed in 1990 with the goal summarized in its mission statement: IADMS is an inclusive organization for professionals who care for those who dance by evolving best practices in dance science, education, research, and medical care to support optimal health, well-being, training, and performance. American Dance Therapy Association was founded in 1966 to establish and maintain standards of professional education in the field of dance/movement therapy. ==History== Dance/movement therapy has been a distinct profession since the 1940s. The association publishes a quarterly peer-reviewed scientific journal, Journal of Dance Medicine & Science (by subscription, print and online) which is indexed in MEDLINE and The IADMS Bulletin for Teachers (free, online only). The conferences are attended by physicians, physical therapists, allied health professionals, alternative healthcare practitioners, psychologists, arts administrators, artistic directors, choreographers, dance educators, dance scientists, movement specialists, and dancers. Joint conference with ADG and CORD. * 1980 ""Western Dance History"" February 15–17, Barnard College, New York, New York. * 1979 ""Western Dance History: Resources and Teaching Methods"" February 16–18, Barnard College, New York, New York. * 1978 ""Dance History Education on the College Level"" 8 April, Trinity College, Hartford, Connecticut. ==Working Groups== * Dance History Teachers * Early Dance * Dance and Technology * Dancing the long nineteenth century * Popular, Social and Vernacular Dance * Practice-as-Research * Latin American, Latino and Caribbean Dance Studies * Students in SDHS ==Notes== ==References== * A Brief History of SDHS (Society of Dance History Scholars) * A Brief History of CORD (Congress on Research in Dance) Category:Dance historians Category:Dance education organizations Category:1978 establishments in the United States Category:Member organizations of the American Council of Learned Societies Category:Historical societies of the United States Category:Organizations established in 1978",American Dance Festival,International Association for Dance Medicine and Science (IADMS),Duke University Hospital,University of Bedfordshire,Trinity Laban Conservatoire of Music and Dance,B,TRUE,"The background knowledge mentions that the International Association for Dance Medicine & Science (IADMS) was formed in 1990 with the goal of promoting dance medicine and science. Therefore, the answer is B) International Association for Dance Medicine and Science (IADMS)."
How many members does the International Association for Dance Medicine and Science have as of 2016?,"The association publishes a quarterly peer-reviewed scientific journal, Journal of Dance Medicine & Science (by subscription, print and online) which is indexed in MEDLINE and The IADMS Bulletin for Teachers (free, online only). The International Association for Dance Medicine & Science (IADMS) was formed in 1990 with the goal summarized in its mission statement: IADMS is an inclusive organization for professionals who care for those who dance by evolving best practices in dance science, education, research, and medical care to support optimal health, well-being, training, and performance. The conferences are attended by physicians, physical therapists, allied health professionals, alternative healthcare practitioners, psychologists, arts administrators, artistic directors, choreographers, dance educators, dance scientists, movement specialists, and dancers. There are many national or international dance organizations around the world, including governing bodies, teaching associations and examination boards. == Organisations covering multiple dance styles == *Aboriginal Islander Dance Theatre, Australia (defunct) *Australian Dance Council *British Association of Teachers of Dance *bbodance (formerly the British Ballet Organisation) - musical theatre, ballet, jazz, tap, modern *CDMT (Council for Dance, Drama and Musical Theatre), UK *Dancewave, Brooklyn, New York City *Imperial Society of Teachers of Dancing, UK - ballet, modern, theatre, national dance, Greek dance, Classical Indian, ballroom, sequence, disco *International Dance Teachers Association, UK *International Dance Council, part of UNESCO, based in Paris, France *National Aboriginal Islander Skills Development Association, Australia *National Dance Alliance (NDA) *National Dance Association (defunct) *National Dance Education Organization, Maryland, US *One Dance UK *TANEČNÍ SVAZ ČR *UKA Dance *Universal Dance Association (UDA) == Organisations for specific dance styles == ===Folk dancing=== *Country Dance and Song Society ===Ballet/contemporary/jazz=== *American Dance Guild *Royal Academy of Dance === Ballroom (including dancesport) === *British Dance Council *Canadian Amateur DanceSport Association *English Amateur Dancesport Association *European Tournament for Dancing Students *Swedish Dancesport Federation *World Dance Council *World DanceSport Federation ===Country and western=== *United Country Western Dance Council ===Rock'n'roll, modern jive, swing=== *World Rock'n'Roll Confederation ==See also== *List of dance companies Dance Organizations These conferences, currently four days in length, are multidisciplinary, with lectures, symposia, and forums on dance medicine, dance science, and dance education, as well as movement sessions.",48 members,900 members,35 members,500 members,100 members,B,TRUE,"The background knowledge provides information about the International Association for Dance Medicine & Science (IADMS), which was formed in 1990. However, it does not mention the exact number of members as of 2016. Therefore, the background knowledge is not useful in answering the question."
When was the Institut für Kunststoffverarbeitung in Industrie und Handwerk (IKV) founded?,"Vendsyssel Kunstmuseum, formerly Hjørring Kunstmuseum, is a state-subsidised art museum in Hjørring, which was founded in 1963 and has a collection of 19th and 20th century art mostly from North Denmark. Kunst may refer to: *Kunst (surname), a surname *Kunst (album), a 2013 album by industrial music band KMFDM *Art, a word for art in the Estonian, Danish, Dutch, German, and Norwegian languages ==See also== *Heimkveld Kunst, an ambient music group *VOF de Kunst, a Dutch pop group *Bunch of Kunst, a documentary about the musical group Sleaford Mods The museum received state recognition in 1981 and changed its to Vendsyssel Kunstmuseum in 2000. == References == == External links == * * Vendsyssel kunstmuseum i arkitekturbilleder.dk Category:Hjørring Category:Art museums and galleries in Denmark Category:1963 establishments in Denmark thumb|left|Share of the Bibliographisches Institut AG, issued 30. Since 2003, the museum has been housed in a former textile factory, which is centrally located in Hjørring on[P. Nørkjærs Plads.",1940,1950,1960,1970,1980,B,FALSE,fail
What is the focus of the IKV?,"EKV may refer to: *Exoatmospheric Kill Vehicle, the non-explosive warhead of an antimissile system. IK Mode was a sports club in Stockholm, Sweden. Ikić is a Croatian surname. *Ekatarina Velika, a rock band from Belgrade, Yugoslavia (now Serbia) *EKV (Enz, Krummenacher, Vittoz) compact/spice mosfet model In 1929, AIK offered to take over the club's track and field athletic. == References == Category:Athletics clubs in Sweden Category:Defunct bandy clubs in Sweden Category:Defunct ice hockey teams in Sweden Category:Sports clubs and teams in Stockholm Category:Multi- sport clubs in Sweden",Product development in the automotive industry,Product development in the electronics industry,Product development in the plastics and rubber industry,Product development in the food industry,Product development in the textile industry,C,FALSE,fail
How many companies are currently included in the non-profit association that sponsors the IKV?,"Earth Economics is a 501(c)(3) non-profit formally established in 2006 and now headquartered in Tacoma, Washington, United States. Fellowship of Companies for Christ International (FCCI) is a membership-based 501(c)(3)non-profit. FCCI estimated the number of workplace study and prayer groups was around 10,000. == Organizational structure and activities == Operating as a 501c3 non-profit sustainable through membership and donations, FCCI produces an annual international conference drawing Christian business leaders from dozens of countries. * Finance & Investment Strategies: Earth Economics works with organizations to develop innovative approaches and practical financing strategies to preserve, enhance, or restore natural capital assets, including conservation lands, green infrastructure, working forests and farms, and green buildings. ==History== Earth Economics was established as a non-profit IRS 501(c)(3) tax exempt, public charity in March 2006. It's a group that supplies spiritual inspiration and guidance for born-again-Christian CEOs""—Inc. Magazine Fellowship of Companies for Christ International equips and encourages company leaders to operate their businesses and conduct their personal lives according to Biblical principles.",100,200,300,400,500,C,FALSE,fail
What is the name of the research association that the IKV is a member of?,"The International Peace Research Association is a global network of academics. It was founded in 1964 and promotes peace by supporting national organizations, hosting conferences, publishing and supporting the publication of peace-promoting journals. == Organization == The International Peace Research Association was founded in 1964 and is a global network of educators and researchers who collaborate on peace-building activities. The Asia-Pacific Peace Research Association is the Regional Association of International Peace Research Association- IPRA.http://soc.kuleuven.be/iieb/ipraweb/index.php?action=page&cat;=regionalassociations&id;=42 It is an international non-governmental organization of peace researchers, peace educators and peace advocates.http://soc.kuleuven.be/iieb/ipraweb/index.php?action=page&cat;=regionalassociations&id;=50 The Asian Peace Research Association was established on 5 December 1980, at the closing of the conference on Asian Peace Research in the Global Context held in Yokohama, Japan. The association encourages national and international peace-building education and supports the dissemination of peace-promoting research. Currently the organization's name is ara.","Arbeitsgemeinschaft industrieller Forschungsvereinigungen ""Otto von Guericke"" (AiF)",Deutsche Forschungsgemeinschaft (DFG),Fraunhofer-Gesellschaft,Max Planck Society,Leibniz Association,A,TRUE,"Based on the background knowledge provided, there is no mention of the IKV being a member of any research association. Therefore, the background knowledge is not useful in answering this question."
Who was the first head of the institute?,"In June 1926 a delegation from the institute, led by Hirschfeld, reciprocated with a research visit to Moscow and Leningrad. The Lister Institute of Preventive Medicine, informally known as the Lister Institute, was established as a research institute (the British Institute of Preventive Medicine) in 1891, with bacteriologist Marc Armand Ruffer as its first director, using a grant of £250,000R G Wilson: ""Guinness, Edward Cecil, first earl of Iveagh (1847–1927)"", Oxford Dictionary of National Biography, Oxford University Press, 2004; online ed., Oct 2006, Accessed 4 Oct 2014. from Edward Cecil Guinness of the Guinness family. Along with Magnus Hirschfeld, a number of others (including many professional specialists) worked on the staff of the institute at different points in time, including: * – psychiatrist * August Bessunger – radiologist * Karl Giese – archivist * Berndt Götz – psychiatrist * Hans Graaz – naturopath, medical doctor * Friedrich Hauptstein – administrative director * Kurt Hiller – lawyer * Max Hodann – sex educator * – anthropologist * Hans Kreiselmaier – gynecologist * Arthur Kronfeld – psychiatrist, psychologist * Ewald Lausch – medical assistant * Ludwig Levy-Lenz – gynecologist * Eugen Littaur – otolaryngologist * Franz Prange – endocrinologist * – ethnologist * Adelheid Rennhack – housekeeper * Arthur Röser – librarian * Bernard Schapiro – dermatologist, andrologist * Arthur Weil – neuroendocrinologist, neuropathologist * Friedrich Wertheim – dermatologist Some others worked for the institute in various domestic affairs. The WLSR has been described as the ""international face"" of the institute. After the Nazis gained control of Germany in the 1930s, the institute and its libraries were destroyed as part of a Nazi government censorship program by youth brigades, who burned its books and documents in the street. ==Origins and purpose== The Institute of Sex Research was founded by Magnus Hirschfeld and his collaborators Arthur Kronfeld, a once famous psychotherapist and later professor at the Charité, and Friedrich Wertheim, a dermatologist.",Karl Krekeler,A. H.,Karl Krekeler and A. H.,There is no information about the first head,The first head is still the current head,A,FALSE,fail
Who was appointed Principal Medical Officer of the Portuguese Army during the Peninsular War?,"The following list of Portuguese general officers (Peninsular War) lists the generals who served in the Portuguese forces in Spain and Portugal during the Peninsular War (1808–1814). At the same time he was appointed by the Portuguese Government as Commander-in-Chief of the Portuguese Army. The Anglo-Portuguese Army was the combined British and Portuguese army that participated in the Peninsular War, under the command of Arthur Wellesley. The Anglo-Portuguese Army was established with the British Army deployed to the Iberian Peninsula under the command of General Arthur Wellesley, and the Portuguese Army rebuilt under the leadership of British General William Beresford and the Portuguese War Secretary Miguel Pereira Forjaz. The Army is also referred to as the British-Portuguese Army and, in Portuguese, as the Exército Anglo-Luso or the Exército Anglo-Português.",Florence Nightingale,James McGrigor,Colonial Surgeon,Superintendents of Hospitals,NHS Scotland,B,TRUE,"The background knowledge provides information about the Portuguese Army during the Peninsular War. It mentions the establishment of the Anglo-Portuguese Army and the rebuilding of the Portuguese Army under the leadership of British General William Beresford and the Portuguese War Secretary Miguel Pereira Forjaz. Since the question asks about the Principal Medical Officer of the Portuguese Army during the Peninsular War, this background knowledge is relevant and can help us determine the correct answer."
